number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
12689,MAS CAPE SF EXP,SUF,Superfast,Fri,MAS,PURATCHI THALAIVAR DR. MGR CTL,CAPE,KANNIYAKUMARI,905,15:45,19
12704,FALAKNUMA SF EX,SUF,Superfast,Daily,SC,SECUNDERABAD JN,HWH,HOWRAH JN,1541,26:15,27
12708,NZM TPTY SF EXP,SUF,Superfast,"Wed,Fri,Sun",NZM,HAZRAT NIZAMUDDIN JN,TPTY,TIRUPATI,2296,39:40,22
12726,SIDDAGANGA EXP,SUF,Superfast,Daily,DWR,DHARWAR,SBC,KSR BENGALURU,490,08:40,18
12746,MUGR SC SF EXP,SUF,Superfast,Daily,MUGR,MANUGURU,SC,SECUNDERABAD JN,337,06:07,11
12750,BIDR MTM SF EXP,SUF,Superfast,Daily,BIDR,BIDAR,MTM,MACHILIPATNAM,592,10:45,17
12788,NSL NS SF EXP,SUF,Superfast,"Tue,Wed,Thu,Fri,Sun",NSL,NAGARSOL,NS,NARASAPUR,1076,19:45,22
12842,COROMANDEL EXP,SUF,Superfast,Daily,MAS,PURATCHI THALAIVAR DR. MGR CTL,HWH,HOWRAH JN,1659,28:00,17
12901,GUJRAT MAIL,SUF,Superfast,Daily,DDR,DADAR,ADI,AHMEDABAD JN,486,08:00,13
12951,NDLS TEJAS RAJ,RAJ,Rajdhani,Daily,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI,1380,15:32,8
12952,MMCT TEJAS RAJ,RAJ,Rajdhani,Daily,NDLS,NEW DELHI,MMCT,MUMBAI CENTRAL,1380,15:40,8
12953,AK TEJAS RAJ EX,RAJ,Rajdhani,Daily,MMCT,MUMBAI CENTRAL,NZM,HAZRAT NIZAMUDDIN JN,1373,16:33,13
12954,AK TEJAS RAJ EX,RAJ,Rajdhani,Daily,NZM,HAZRAT NIZAMUDDIN JN,MMCT,MUMBAI CENTRAL,1373,16:50,13
12957,SBIB NDLS RAJ,RAJ,Rajdhani,Daily,SBIB,SABARMATI BG,NDLS,NEW DELHI,927,12:10,10
12966,BHUJ BDTS SFAST,SUF,Superfast,Fri,BHUJ,BHUJ,BDTS,BANDRA TERMINUS,973,17:20,19
12981,JP ASV SUPERFAST,SUF,Superfast,Daily,KWP,KHATIPURA,ASV,ASARVA JN,743,12:35,21
12982,ASV JP SF EXP,SUF,Superfast,Daily,ASV,ASARVA JN,KWP,KHATIPURA,743,12:30,21
